"region";"ålder";"kön";"2002";"2006";"2010";"2014"
"1763 Forshaga";"totalt ålder";"män";5735;5725;5659;5760
"1763 Forshaga";"totalt ålder";"kvinnor";5739;5741;5607;5619
"1764 Grums";"totalt ålder";"män";4683;4686;4588;4504
"1764 Grums";"totalt ålder";"kvinnor";4629;4646;4503;4454
"1765 Årjäng";"totalt ålder";"män";4908;4993;5005;5001
"1765 Årjäng";"totalt ålder";"kvinnor";4835;4828;4850;4803
"1766 Sunne";"totalt ålder";"män";6789;6800;6657;6641
"1766 Sunne";"totalt ålder";"kvinnor";6784;6791;6598;6458
"1780 Karlstad";"totalt ålder";"män";39429;40549;42202;43457
"1780 Karlstad";"totalt ålder";"kvinnor";41505;42329;43551;44893
"1781 Kristinehamn";"totalt ålder";"män";11929;11835;11805;12049
"1781 Kristinehamn";"totalt ålder";"kvinnor";12034;12013;12003;12065
"1782 Filipstad";"totalt ålder";"män";5561;5472;5342;5426
"1782 Filipstad";"totalt ålder";"kvinnor";5617;5480;5220;5187
"1783 Hagfors";"totalt ålder";"män";6938;6626;6307;6121
"1783 Hagfors";"totalt ålder";"kvinnor";6859;6501;6173;5800
"1784 Arvika";"totalt ålder";"män";12929;13001;12940;12826
